sim_idx,partition,event_type,event_target,is_fault
74,optimization,flt_1phg_shc,MainLn9-10,True
75,optimization,flt_1phg_shc,MainBus1,True
76,optimization,flt_1phg_shc,MainBus10,True
77,optimization,flt_1phg_shc,MainBus11,True
78,optimization,flt_1phg_shc,MainBus12,True
79,optimization,flt_1phg_shc,MainBus13,True
80,optimization,flt_1phg_shc,MainBus14,True
81,optimization,flt_1phg_shc,MainBus2,True
82,optimization,flt_1phg_shc,MainBus3,True
83,optimization,flt_1phg_shc,MainBus4,True
84,optimization,flt_1phg_shc,MainBus5,True
85,optimization,flt_1phg_shc,MainBus6,True
86,optimization,flt_1phg_shc,MainBus7,True
87,optimization,flt_1phg_shc,MainBus8,True
88,optimization,flt_1phg_shc,MainBus9,True
89,optimization,flt_1phg_shc,MainLn1-2,True
90,optimization,flt_1phg_shc,MainLn1-2,True
91,optimization,flt_1phg_shc,MainLn1-2,True
92,optimization,flt_1phg_shc,MainLn1-2,True
93,evaluation,flt_1phg_shc,MainLn1-2,True
94,optimization,flt_1phg_shc,MainLn10-11,True
95,optimization,flt_1phg_shc,MainLn10-11,True
96,optimization,flt_1phg_shc,MainLn10-11,True
97,optimization,flt_1phg_shc,MainLn10-11,True
98,optimization,flt_1phg_shc,MainLn10-11,True
99,optimization,flt_1phg_shc,MainLn12-13,True
100,optimization,flt_1phg_shc,MainLn12-13,True
101,optimization,flt_1phg_shc,MainLn12-13,True
102,optimization,flt_1phg_shc,MainLn12-13,True
103,optimization,flt_1phg_shc,MainLn12-13,True
104,optimization,flt_1phg_shc,MainLn13-14,True
105,optimization,flt_1phg_shc,MainLn13-14,True
106,optimization,flt_1phg_shc,MainLn13-14,True
107,optimization,flt_1phg_shc,MainLn13-14,True
108,optimization,flt_1phg_shc,MainLn13-14,True
109,optimization,flt_1phg_shc,MainLn2-3,True
110,optimization,flt_1phg_shc,MainLn2-3,True
111,optimization,flt_1phg_shc,MainLn2-3,True
112,optimization,flt_1phg_shc,MainLn2-3,True
113,optimization,flt_1phg_shc,MainLn2-3,True
114,optimization,flt_1phg_shc,MainLn3-4,True
115,monitoring,flt_1phg_shc,MainLn3-4,True
116,optimization,flt_1phg_shc,MainLn3-4,True
117,optimization,flt_1phg_shc,MainLn3-4,True
118,monitoring,flt_1phg_shc,MainLn3-4,True
119,optimization,flt_1phg_shc,MainLn3-8,True
120,optimization,flt_1phg_shc,MainLn3-8,True
121,optimization,flt_1phg_shc,MainLn3-8,True
122,optimization,flt_1phg_shc,MainLn3-8,True
123,optimization,flt_1phg_shc,MainLn3-8,True
124,optimization,flt_1phg_shc,MainLn4-11,True
125,optimization,flt_1phg_shc,MainLn4-11,True
126,optimization,flt_1phg_shc,MainLn4-11,True
127,optimization,flt_1phg_shc,MainLn4-11,True
128,optimization,flt_1phg_shc,MainLn4-11,True
129,optimization,flt_1phg_shc,MainLn4-5,True
130,optimization,flt_1phg_shc,MainLn4-5,True
131,optimization,flt_1phg_shc,MainLn4-5,True
132,evaluation,flt_1phg_shc,MainLn4-5,True
133,optimization,flt_1phg_shc,MainLn4-5,True
134,evaluation,flt_1phg_shc,MainLn5-6,True
135,optimization,flt_1phg_shc,MainLn5-6,True
136,optimization,flt_1phg_shc,MainLn5-6,True
137,optimization,flt_1phg_shc,MainLn5-6,True
138,optimization,flt_1phg_shc,MainLn5-6,True
139,monitoring,flt_1phg_shc,MainLn6-7,True
140,optimization,flt_1phg_shc,MainLn6-7,True
141,optimization,flt_1phg_shc,MainLn6-7,True
142,optimization,flt_1phg_shc,MainLn6-7,True
143,optimization,flt_1phg_shc,MainLn6-7,True
144,optimization,flt_1phg_shc,MainLn7-8,True
145,optimization,flt_1phg_shc,MainLn7-8,True
146,optimization,flt_1phg_shc,MainLn7-8,True
147,optimization,flt_1phg_shc,MainLn7-8,True
148,optimization,flt_1phg_shc,MainLn7-8,True
149,optimization,flt_1phg_shc,MainLn8-14,True
150,optimization,flt_1phg_shc,MainLn8-14,True
151,evaluation,flt_1phg_shc,MainLn8-14,True
152,optimization,flt_1phg_shc,MainLn8-14,True
153,optimization,flt_1phg_shc,MainLn8-14,True
154,optimization,flt_1phg_shc,MainLn8-9,True
155,optimization,flt_1phg_shc,MainLn8-9,True
156,optimization,flt_1phg_shc,MainLn8-9,True
157,evaluation,flt_1phg_shc,MainLn8-9,True
158,optimization,flt_1phg_shc,MainLn8-9,True
159,optimization,flt_1phg_shc,MainLn9-10,True
160,monitoring,flt_1phg_shc,MainLn9-10,True
161,optimization,flt_1phg_shc,MainLn9-10,True
162,optimization,flt_1phg_shc,MainLn9-10,True
163,optimization,flt_1phg_shc,MainLn9-10,True
164,optimization,flt_1phg_shc,MainBus1,True
165,monitoring,flt_1phg_shc,MainBus10,True
166,monitoring,flt_1phg_shc,MainBus11,True
167,optimization,flt_1phg_shc,MainBus12,True
168,optimization,flt_1phg_shc,MainBus13,True
169,optimization,flt_1phg_shc,MainBus14,True
170,optimization,flt_1phg_shc,MainBus2,True
171,optimization,flt_1phg_shc,MainBus3,True
172,optimization,flt_1phg_shc,MainBus4,True
173,optimization,flt_1phg_shc,MainBus5,True
174,optimization,flt_1phg_shc,MainBus6,True
175,optimization,flt_1phg_shc,MainBus7,True
176,optimization,flt_1phg_shc,MainBus8,True
177,optimization,flt_1phg_shc,MainBus9,True
178,optimization,flt_1phg_shc,MainLn1-2,True
179,optimization,flt_1phg_shc,MainLn1-2,True
180,optimization,flt_1phg_shc,MainLn1-2,True
181,optimization,flt_1phg_shc,MainLn1-2,True
182,optimization,flt_1phg_shc,MainLn1-2,True
183,optimization,flt_1phg_shc,MainLn10-11,True
184,optimization,flt_1phg_shc,MainLn10-11,True
185,optimization,flt_1phg_shc,MainLn10-11,True
186,optimization,flt_1phg_shc,MainLn10-11,True
187,optimization,flt_1phg_shc,MainLn10-11,True
188,optimization,flt_1phg_shc,MainLn12-13,True
189,optimization,flt_1phg_shc,MainLn12-13,True
190,optimization,flt_1phg_shc,MainLn12-13,True
191,optimization,flt_1phg_shc,MainLn12-13,True
192,optimization,flt_1phg_shc,MainLn12-13,True
193,optimization,flt_1phg_shc,MainLn13-14,True
194,optimization,flt_1phg_shc,MainLn13-14,True
195,optimization,flt_1phg_shc,MainLn13-14,True
196,optimization,flt_1phg_shc,MainLn13-14,True
197,optimization,flt_1phg_shc,MainLn13-14,True
198,optimization,flt_1phg_shc,MainLn2-3,True
199,evaluation,flt_1phg_shc,MainLn2-3,True
200,optimization,flt_1phg_shc,MainLn2-3,True
201,optimization,flt_1phg_shc,MainLn2-3,True
202,optimization,flt_1phg_shc,MainLn2-3,True
203,optimization,flt_1phg_shc,MainLn3-4,True
204,optimization,flt_1phg_shc,MainLn3-4,True
205,optimization,flt_1phg_shc,MainLn3-4,True
206,optimization,flt_1phg_shc,MainLn3-4,True
207,optimization,flt_1phg_shc,MainLn3-4,True
208,optimization,flt_1phg_shc,MainLn3-8,True
209,optimization,flt_1phg_shc,MainLn3-8,True
210,optimization,flt_1phg_shc,MainLn3-8,True
211,optimization,flt_1phg_shc,MainLn3-8,True
212,optimization,flt_1phg_shc,MainLn3-8,True
213,optimization,flt_1phg_shc,MainLn4-11,True
214,optimization,flt_1phg_shc,MainLn4-11,True
215,optimization,flt_1phg_shc,MainLn4-11,True
216,optimization,flt_1phg_shc,MainLn4-11,True
217,optimization,flt_1phg_shc,MainLn4-11,True
218,optimization,flt_1phg_shc,MainLn4-5,True
219,optimization,flt_1phg_shc,MainLn4-5,True
220,optimization,flt_1phg_shc,MainLn4-5,True
221,optimization,flt_1phg_shc,MainLn4-5,True
222,optimization,flt_1phg_shc,MainLn4-5,True
223,optimization,flt_1phg_shc,MainLn5-6,True
224,optimization,flt_1phg_shc,MainLn5-6,True
225,optimization,flt_1phg_shc,MainLn5-6,True
226,optimization,flt_1phg_shc,MainLn5-6,True
227,optimization,flt_1phg_shc,MainLn5-6,True
228,optimization,flt_1phg_shc,MainLn6-7,True
229,optimization,flt_1phg_shc,MainLn6-7,True
230,optimization,flt_1phg_shc,MainLn6-7,True
231,optimization,flt_1phg_shc,MainLn6-7,True
232,optimization,flt_1phg_shc,MainLn6-7,True
233,optimization,flt_1phg_shc,MainLn7-8,True
234,optimization,flt_1phg_shc,MainLn7-8,True
235,optimization,flt_1phg_shc,MainLn7-8,True
236,optimization,flt_1phg_shc,MainLn7-8,True
237,optimization,flt_1phg_shc,MainLn7-8,True
238,evaluation,flt_1phg_shc,MainLn8-14,True
239,optimization,flt_1phg_shc,MainLn8-14,True
240,optimization,flt_1phg_shc,MainLn8-14,True
241,optimization,flt_1phg_shc,MainLn8-14,True
242,optimization,flt_1phg_shc,MainLn8-14,True
243,monitoring,flt_1phg_shc,MainLn8-9,True
244,monitoring,flt_1phg_shc,MainLn8-9,True
245,optimization,flt_1phg_shc,MainLn8-9,True
246,optimization,flt_1phg_shc,MainLn8-9,True
247,optimization,flt_1phg_shc,MainLn8-9,True
248,optimization,flt_1phg_shc,MainLn9-10,True
249,optimization,flt_1phg_shc,MainLn9-10,True
250,optimization,flt_1phg_shc,MainLn9-10,True
251,monitoring,flt_1phg_shc,MainLn9-10,True
252,monitoring,flt_1phg_shc,MainLn9-10,True
253,optimization,flt_1phg_shc,MainBus1,True
254,optimization,flt_1phg_shc,MainBus10,True
255,optimization,flt_1phg_shc,MainBus11,True
256,optimization,flt_1phg_shc,MainBus12,True
257,optimization,flt_1phg_shc,MainBus13,True
258,monitoring,flt_1phg_shc,MainBus14,True
259,monitoring,flt_1phg_shc,MainBus2,True
260,optimization,flt_1phg_shc,MainBus3,True
261,optimization,flt_1phg_shc,MainBus4,True
262,optimization,flt_1phg_shc,MainBus5,True
263,optimization,flt_1phg_shc,MainBus6,True
264,optimization,flt_1phg_shc,MainBus7,True
265,optimization,flt_1phg_shc,MainBus8,True
266,optimization,flt_1phg_shc,MainBus9,True
267,optimization,flt_1phg_shc,MainLn1-2,True
268,optimization,flt_1phg_shc,MainLn1-2,True
269,optimization,flt_1phg_shc,MainLn1-2,True
270,optimization,flt_1phg_shc,MainLn1-2,True
271,optimization,flt_1phg_shc,MainLn1-2,True
272,optimization,flt_1phg_shc,MainLn10-11,True
273,optimization,flt_1phg_shc,MainLn10-11,True
274,evaluation,flt_1phg_shc,MainLn10-11,True
275,optimization,flt_1phg_shc,MainLn10-11,True
276,optimization,flt_1phg_shc,MainLn10-11,True
277,optimization,flt_1phg_shc,MainLn12-13,True
278,monitoring,flt_1phg_shc,MainLn12-13,True
279,optimization,flt_1phg_shc,MainLn12-13,True
280,optimization,flt_1phg_shc,MainLn12-13,True
281,optimization,flt_1phg_shc,MainLn12-13,True
282,optimization,flt_1phg_shc,MainLn13-14,True
283,optimization,flt_1phg_shc,MainLn13-14,True
284,optimization,flt_1phg_shc,MainLn13-14,True
285,optimization,flt_1phg_shc,MainLn13-14,True
286,optimization,flt_1phg_shc,MainLn13-14,True
287,evaluation,flt_1phg_shc,MainLn2-3,True
288,monitoring,flt_1phg_shc,MainLn2-3,True
289,monitoring,flt_1phg_shc,MainLn2-3,True
290,optimization,flt_1phg_shc,MainLn2-3,True
291,optimization,flt_1phg_shc,MainLn2-3,True
292,optimization,flt_1phg_shc,MainLn3-4,True
293,optimization,flt_1phg_shc,MainLn3-4,True
294,optimization,flt_1phg_shc,MainLn3-4,True
295,optimization,flt_1phg_shc,MainLn3-4,True
296,optimization,flt_1phg_shc,MainLn3-4,True
297,optimization,flt_1phg_shc,MainLn3-8,True
298,evaluation,flt_1phg_shc,MainLn3-8,True
299,optimization,flt_1phg_shc,MainLn3-8,True
300,optimization,flt_1phg_shc,MainLn3-8,True
301,optimization,flt_1phg_shc,MainLn3-8,True
302,optimization,flt_1phg_shc,MainLn4-11,True
303,optimization,flt_1phg_shc,MainLn4-11,True
304,optimization,flt_1phg_shc,MainLn4-11,True
305,optimization,flt_1phg_shc,MainLn4-11,True
306,optimization,flt_1phg_shc,MainLn4-11,True
307,monitoring,flt_1phg_shc,MainLn4-5,True
308,evaluation,flt_1phg_shc,MainLn4-5,True
309,optimization,flt_1phg_shc,MainLn4-5,True
310,optimization,flt_1phg_shc,MainLn4-5,True
311,optimization,flt_1phg_shc,MainLn4-5,True
312,optimization,flt_1phg_shc,MainLn5-6,True
313,optimization,flt_1phg_shc,MainLn5-6,True
314,optimization,flt_1phg_shc,MainLn5-6,True
315,evaluation,flt_1phg_shc,MainLn5-6,True
316,monitoring,flt_1phg_shc,MainLn5-6,True
317,optimization,flt_1phg_shc,MainLn6-7,True
318,optimization,flt_1phg_shc,MainLn6-7,True
319,optimization,flt_1phg_shc,MainLn6-7,True
320,optimization,flt_1phg_shc,MainLn6-7,True
321,optimization,flt_1phg_shc,MainLn6-7,True
322,evaluation,flt_1phg_shc,MainLn7-8,True
323,monitoring,flt_1phg_shc,MainLn7-8,True
324,optimization,flt_1phg_shc,MainLn7-8,True
325,optimization,flt_1phg_shc,MainLn7-8,True
326,optimization,flt_1phg_shc,MainLn7-8,True
327,optimization,flt_1phg_shc,MainLn8-14,True
328,optimization,flt_1phg_shc,MainLn8-14,True
329,monitoring,flt_1phg_shc,MainLn8-14,True
330,optimization,flt_1phg_shc,MainLn8-14,True
331,optimization,flt_1phg_shc,MainLn8-14,True
332,optimization,flt_1phg_shc,MainLn8-9,True
333,monitoring,flt_1phg_shc,MainLn8-9,True
334,optimization,flt_1phg_shc,MainLn8-9,True
335,optimization,flt_1phg_shc,MainLn8-9,True
336,optimization,flt_1phg_shc,MainLn8-9,True
337,optimization,flt_1phg_shc,MainLn9-10,True
338,optimization,flt_1phg_shc,MainLn9-10,True
339,optimization,flt_1phg_shc,MainLn9-10,True
340,optimization,flt_1phg_shc,MainLn9-10,True
341,optimization,flt_1phg_shc,MainLn9-10,True
342,optimization,flt_1phg_shc,MainBus1,True
343,optimization,flt_1phg_shc,MainBus10,True
344,optimization,flt_1phg_shc,MainBus11,True
345,monitoring,flt_1phg_shc,MainBus12,True
346,optimization,flt_1phg_shc,MainBus13,True
347,optimization,flt_1phg_shc,MainBus14,True
348,optimization,flt_1phg_shc,MainBus2,True
349,optimization,flt_1phg_shc,MainBus3,True
350,evaluation,flt_1phg_shc,MainBus4,True
351,optimization,flt_1phg_shc,MainBus5,True
352,optimization,flt_1phg_shc,MainBus6,True
353,optimization,flt_1phg_shc,MainBus7,True
354,optimization,flt_1phg_shc,MainBus8,True
355,optimization,flt_1phg_shc,MainBus9,True
356,optimization,flt_1phg_shc,MainLn1-2,True
357,optimization,flt_1phg_shc,MainLn1-2,True
358,optimization,flt_1phg_shc,MainLn1-2,True
359,optimization,flt_1phg_shc,MainLn1-2,True
360,optimization,flt_1phg_shc,MainLn1-2,True
361,optimization,flt_1phg_shc,MainLn10-11,True
362,optimization,flt_1phg_shc,MainLn10-11,True
363,optimization,flt_1phg_shc,MainLn10-11,True
364,optimization,flt_1phg_shc,MainLn10-11,True
365,optimization,flt_1phg_shc,MainLn10-11,True
366,optimization,flt_1phg_shc,MainLn12-13,True
367,optimization,flt_1phg_shc,MainLn12-13,True
368,optimization,flt_1phg_shc,MainLn12-13,True
369,optimization,flt_1phg_shc,MainLn12-13,True
370,optimization,flt_1phg_shc,MainLn12-13,True
371,optimization,flt_1phg_shc,MainLn13-14,True
372,optimization,flt_1phg_shc,MainLn13-14,True
373,optimization,flt_1phg_shc,MainLn13-14,True
374,optimization,flt_1phg_shc,MainLn13-14,True
375,optimization,flt_1phg_shc,MainLn13-14,True
376,optimization,flt_1phg_shc,MainLn2-3,True
377,optimization,flt_1phg_shc,MainLn2-3,True
378,optimization,flt_1phg_shc,MainLn2-3,True
379,monitoring,flt_1phg_shc,MainLn2-3,True
380,monitoring,flt_1phg_shc,MainLn2-3,True
381,optimization,flt_1phg_shc,MainLn3-4,True
382,optimization,flt_1phg_shc,MainLn3-4,True
383,optimization,flt_1phg_shc,MainLn3-4,True
384,optimization,flt_1phg_shc,MainLn3-4,True
385,optimization,flt_1phg_shc,MainLn3-4,True
386,optimization,flt_1phg_shc,MainLn3-8,True
387,optimization,flt_1phg_shc,MainLn3-8,True
388,monitoring,flt_1phg_shc,MainLn3-8,True
389,optimization,flt_1phg_shc,MainLn3-8,True
390,optimization,flt_1phg_shc,MainLn3-8,True
391,optimization,flt_1phg_shc,MainLn4-11,True
392,optimization,flt_1phg_shc,MainLn4-11,True
393,optimization,flt_1phg_shc,MainLn4-11,True
394,optimization,flt_1phg_shc,MainLn4-11,True
395,monitoring,flt_1phg_shc,MainLn4-11,True
396,monitoring,flt_1phg_shc,MainLn4-5,True
397,monitoring,flt_1phg_shc,MainLn4-5,True
398,optimization,flt_1phg_shc,MainLn4-5,True
399,optimization,flt_1phg_shc,MainLn4-5,True
400,optimization,flt_1phg_shc,MainLn4-5,True
401,optimization,flt_1phg_shc,MainLn5-6,True
402,optimization,flt_1phg_shc,MainLn5-6,True
403,optimization,flt_1phg_shc,MainLn5-6,True
404,optimization,flt_1phg_shc,MainLn5-6,True
405,optimization,flt_1phg_shc,MainLn5-6,True
406,optimization,flt_1phg_shc,MainLn6-7,True
407,optimization,flt_1phg_shc,MainLn6-7,True
408,optimization,flt_1phg_shc,MainLn6-7,True
409,optimization,flt_1phg_shc,MainLn6-7,True
410,optimization,flt_1phg_shc,MainLn6-7,True
411,optimization,flt_1phg_shc,MainLn7-8,True
412,optimization,flt_1phg_shc,MainLn7-8,True
413,optimization,flt_1phg_shc,MainLn7-8,True
414,evaluation,flt_1phg_shc,MainLn7-8,True
415,evaluation,flt_1phg_shc,MainLn7-8,True
416,optimization,flt_1phg_shc,MainLn8-14,True
417,optimization,flt_1phg_shc,MainLn8-14,True
418,optimization,flt_1phg_shc,MainLn8-14,True
419,monitoring,flt_1phg_shc,MainLn8-14,True
420,optimization,flt_1phg_shc,MainLn8-14,True
421,optimization,flt_1phg_shc,MainLn8-9,True
422,optimization,flt_1phg_shc,MainLn8-9,True
423,optimization,flt_1phg_shc,MainLn8-9,True
424,optimization,flt_1phg_shc,MainLn8-9,True
425,optimization,flt_1phg_shc,MainLn8-9,True
426,optimization,flt_1phg_shc,MainLn9-10,True
427,optimization,flt_1phg_shc,MainLn9-10,True
428,optimization,flt_1phg_shc,MainLn9-10,True
429,optimization,flt_1phg_shc,MainLn9-10,True
430,optimization,flt_1phg_shc,MainLn9-10,True
431,optimization,flt_1phg_shc,MainBus1,True
432,optimization,flt_1phg_shc,MainBus10,True
433,optimization,flt_1phg_shc,MainBus11,True
434,optimization,flt_1phg_shc,MainBus12,True
435,optimization,flt_1phg_shc,MainBus13,True
436,optimization,flt_1phg_shc,MainBus14,True
437,optimization,flt_1phg_shc,MainBus2,True
438,evaluation,flt_1phg_shc,MainBus3,True
439,optimization,flt_1phg_shc,MainBus4,True
440,optimization,flt_1phg_shc,MainBus5,True
441,optimization,flt_1phg_shc,MainBus6,True
442,optimization,flt_1phg_shc,MainBus7,True
443,evaluation,flt_1phg_shc,MainBus8,True
444,optimization,flt_1phg_shc,MainBus9,True
445,optimization,flt_1phg_shc,MainLn1-2,True
446,optimization,flt_1phg_shc,MainLn1-2,True
447,optimization,flt_1phg_shc,MainLn1-2,True
448,optimization,flt_1phg_shc,MainLn1-2,True
449,optimization,flt_1phg_shc,MainLn1-2,True
450,optimization,flt_1phg_shc,MainLn10-11,True
451,optimization,flt_1phg_shc,MainLn10-11,True
452,optimization,flt_1phg_shc,MainLn10-11,True
453,optimization,flt_1phg_shc,MainLn10-11,True
454,optimization,flt_1phg_shc,MainLn10-11,True
455,optimization,flt_1phg_shc,MainLn12-13,True
456,optimization,flt_1phg_shc,MainLn12-13,True
457,evaluation,flt_1phg_shc,MainLn12-13,True
458,optimization,flt_1phg_shc,MainLn12-13,True
459,optimization,flt_1phg_shc,MainLn12-13,True
460,optimization,flt_1phg_shc,MainLn13-14,True
461,optimization,flt_1phg_shc,MainLn13-14,True
462,optimization,flt_1phg_shc,MainLn13-14,True
463,evaluation,flt_1phg_shc,MainLn13-14,True
464,optimization,flt_1phg_shc,MainLn13-14,True
465,optimization,flt_1phg_shc,MainLn2-3,True
466,optimization,flt_1phg_shc,MainLn2-3,True
467,optimization,flt_1phg_shc,MainLn2-3,True
468,optimization,flt_1phg_shc,MainLn2-3,True
469,optimization,flt_1phg_shc,MainLn2-3,True
470,optimization,flt_1phg_shc,MainLn3-4,True
471,evaluation,flt_1phg_shc,MainLn3-4,True
472,optimization,flt_1phg_shc,MainLn3-4,True
473,optimization,flt_1phg_shc,MainLn3-4,True
474,optimization,flt_1phg_shc,MainLn3-4,True
475,optimization,flt_1phg_shc,MainLn3-8,True
476,optimization,flt_1phg_shc,MainLn3-8,True
477,optimization,flt_1phg_shc,MainLn3-8,True
478,monitoring,flt_1phg_shc,MainLn3-8,True
479,optimization,flt_1phg_shc,MainLn3-8,True
480,optimization,flt_1phg_shc,MainLn4-11,True
481,optimization,flt_1phg_shc,MainLn4-11,True
482,optimization,flt_1phg_shc,MainLn4-11,True
483,optimization,flt_1phg_shc,MainLn4-11,True
484,optimization,flt_1phg_shc,MainLn4-11,True
485,optimization,flt_1phg_shc,MainLn4-5,True
486,evaluation,flt_1phg_shc,MainLn4-5,True
487,optimization,flt_1phg_shc,MainLn4-5,True
488,optimization,flt_1phg_shc,MainLn4-5,True
489,optimization,flt_1phg_shc,MainLn4-5,True
490,optimization,flt_1phg_shc,MainLn5-6,True
491,monitoring,flt_1phg_shc,MainLn5-6,True
492,optimization,flt_1phg_shc,MainLn5-6,True
493,optimization,flt_1phg_shc,MainLn5-6,True
494,optimization,flt_1phg_shc,MainLn5-6,True
495,optimization,flt_1phg_shc,MainLn6-7,True
496,optimization,flt_1phg_shc,MainLn6-7,True
497,evaluation,flt_1phg_shc,MainLn6-7,True
498,optimization,flt_1phg_shc,MainLn6-7,True
499,optimization,flt_1phg_shc,MainLn6-7,True
500,optimization,flt_1phg_shc,MainLn7-8,True
501,optimization,flt_1phg_shc,MainLn7-8,True
502,optimization,flt_1phg_shc,MainLn7-8,True
503,optimization,flt_1phg_shc,MainLn7-8,True
504,optimization,flt_1phg_shc,MainLn7-8,True
505,optimization,flt_1phg_shc,MainLn8-14,True
506,optimization,flt_1phg_shc,MainLn8-14,True
507,optimization,flt_1phg_shc,MainLn8-14,True
508,optimization,flt_1phg_shc,MainLn8-14,True
509,optimization,flt_1phg_shc,MainLn8-14,True
510,monitoring,flt_1phg_shc,MainLn8-9,True
511,optimization,flt_1phg_shc,MainLn8-9,True
512,optimization,flt_1phg_shc,MainLn8-9,True
513,optimization,flt_1phg_shc,MainLn8-9,True
514,monitoring,flt_1phg_shc,MainLn8-9,True
515,optimization,flt_1phg_shc,MainLn9-10,True
516,optimization,flt_1phg_shc,MainLn9-10,True
517,optimization,flt_1phg_shc,MainLn9-10,True
518,optimization,flt_1phg_shc,MainLn9-10,True
519,monitoring,flt_1phg_shc,MainLn9-10,True
520,optimization,flt_1phg_shc,MainBus1,True
521,optimization,flt_1phg_shc,MainBus10,True
522,optimization,flt_1phg_shc,MainBus11,True
523,optimization,flt_1phg_shc,MainBus12,True
524,optimization,flt_1phg_shc,MainBus13,True
525,optimization,flt_1phg_shc,MainBus14,True
526,monitoring,flt_1phg_shc,MainBus2,True
527,optimization,flt_1phg_shc,MainBus3,True
528,optimization,flt_1phg_shc,MainBus4,True
529,optimization,flt_1phg_shc,MainBus5,True
530,optimization,flt_1phg_shc,MainBus6,True
531,optimization,flt_1phg_shc,MainBus7,True
532,optimization,flt_1phg_shc,MainBus8,True
533,optimization,flt_1phg_shc,MainBus9,True
534,monitoring,flt_1phg_shc,MainLn1-2,True
535,optimization,flt_1phg_shc,MainLn1-2,True
536,optimization,flt_1phg_shc,MainLn1-2,True
537,monitoring,flt_1phg_shc,MainLn1-2,True
538,evaluation,flt_1phg_shc,MainLn1-2,True
539,optimization,flt_1phg_shc,MainLn10-11,True
